module	trait	nObs	bicor	Z	t	p
magenta	SequencingNumber	25	-0.249093912941359	-1.22028279599309	1.23349295812647	0.229849533625352
magenta	Percent_CpG_Methylated	14	0.215441924831908	0.758192105302433	0.764260103645242	0.459477118620664
magenta	Percent_Duplicated_Reads	14	0.102111505248811	0.354961779755165	0.355583278536184	0.728324898399564
magenta	Percent_Deduplicated_reads	14	-0.102111505248811	-0.354961779755164	0.355583278536184	0.728324898399564
magenta	Percent_Duplicate_Reads	14	0.102111505248811	0.354961779755165	0.355583278536184	0.728324898399564
magenta	Aligned_Uniquely	25	0.1697216701039	0.821909915532188	0.825939231608891	0.417324166119994
magenta	Aligned_Ambiguously	25	0.131704774625437	0.635324535991376	0.637184432892653	0.53029677123005
magenta	Aligned_Reads_Total	25	0.16702721457639	0.808610720230494	0.812447410052273	0.424864808154834
magenta	Mapping_Efficiency	25	0.240021287204309	1.17400373580221	1.18576436402766	0.247821539903306
magenta	Percent_Aligned_Total	25	0.236943433972118	1.15835272169709	1.16964834227762	0.254121186119703
magenta	Total_Reads	25	0.00746474890312515	0.0358003430743579	0.0358006755682631	0.971750199825425
magenta	bgw_id	25	-0.200963350161825	-0.977084709002512	0.983858298355431	0.335422389247355
magenta	mom_gw_age	24	0.0180374164663071	0.084612159399676	0.0846167485414197	0.933331384891622
magenta	age_c_months	25	0.0508596743435758	0.244125068173367	0.244230510337953	0.809217838964759
magenta	gestage	25	0.0809638246333301	0.389140644474458	0.389567797672488	0.700440038247789
magenta	bmi_mom	24	-0.071454916867148	-0.335725431121124	0.33601217228172	0.740045304753536
magenta	hei_base_mom	22	0.315037112799263	1.4584876576035	1.48447945414439	0.153272571705495
magenta	brf_nb	23	0.10654067831176	0.490090695584026	0.491025470796205	0.62850067257561
magenta	ex_brf_mth3	22	0.0958165600853165	0.42982329513842	0.430485342695196	0.671446040551746
magenta	ex_brf_mth6	21	-0.215644043245315	-0.954961416337606	0.962619054038102	0.347830954935989
magenta	gwg	21	0.100090825419961	0.437751542699869	0.438487745064259	0.665977932325921
magenta	ppwr	21	-0.0614098400398944	-0.268016538195474	0.268185450786879	0.791446622712452
magenta	soc_env_tot	25	0.0426299045236694	0.204569822238931	0.204631864144319	0.839659811700342
magenta	airpollut	25	-0.102663505851059	-0.494097679863079	0.494972240335123	0.62531519765283
magenta	toxic	25	0.167528237084624	0.811082710661735	0.814954729105902	0.423457066204293
magenta	emissions	25	0.0753472460701129	0.362038861462235	0.362382823277083	0.720374581201991
magenta	spl_ebm	25	-0.0353082220407556	-0.169402704167227	0.169437933873575	0.866933620153527
magenta	env_tot	25	-0.0100612187211665	-0.0482535381548874	0.0482543523164617	0.961930111158484
magenta	poverty	25	0.0325200402468065	0.156015647947017	0.156043167943341	0.877360519316445
magenta	soc_tot	25	0.0461167113243183	0.221324968040841	0.221403538337228	0.826732129391382
magenta	wt_0wk	24	0.0408760994751338	0.191832790449363	0.191886275316828	0.849591373262606
magenta	wt_6mo	19	0.12486855684294	0.517547419242876	0.518907586779361	0.610514457571217
magenta	wt_12mo	20	0.125146545019003	0.533750027815773	0.535159101333165	0.599089804623927
magenta	bmi_24mo	20	0.226096600158036	0.976112503495044	0.984746765580066	0.337801023333121
magenta	zwfl_pct_0wk	19	0.0207726062058446	0.0856599717167274	0.0856661340187643	0.932732677739351
magenta	zwfl_pct_6mo	18	0.147063821576521	0.592552066404113	0.594721692182435	0.560346591374468
magenta	zwfl_pct_9mo	14	0.00251077722339195	0.008697605711409	0.0086976148497382	0.993203319005187
magenta	zwfl_pct_12mo	20	0.0966651956525045	0.411400297522402	0.412045319073845	0.685171702322132
magenta	zbmi_24mo_pct	20	0.194972860744849	0.837927397387725	0.84338550883067	0.410081106628411
magenta	wzd_0to6mo	19	-0.0747703699615619	-0.308862570167768	0.309151516724516	0.760963121332677
magenta	wzd_6to12mo	18	0.0188735632937868	0.0755032190624652	0.0755077027248994	0.940746826672813
magenta	wflzd_0to6mo	18	0.009213196797456	0.0368538299679194	0.0368543513768839	0.971057040625583
magenta	wflzd_6to12mo	17	-0.0764493185582723	-0.296665795380263	0.296955988644287	0.77057266791875
magenta	rwg_wei_0to6mo	19	0.101727620266691	0.420889611763212	0.421620970954178	0.678584873926921
magenta	rwg_wei_6to12mo	18	-0.195604202377367	-0.792631023252289	0.79782852432351	0.436651638775752
magenta	rwg_wfl_0to6mo	18	0.103822697155824	0.416792674999499	0.417547288828155	0.681827469872688
magenta	rwg_wfl_6to12mo	17	0.108270352589347	0.420979419220222	0.421808881494915	0.679147476414032
magenta	EH_90Days_base	20	0.0745942638255696	0.317065617072065	0.317360836523469	0.754621571363088
magenta	EH_90Days_wk26	19	-0.0207311725716327	-0.0854890628660502	0.0854951883560132	0.93286656262268
magenta	EH_90Days_wk36	17	-0.0325580510476394	-0.126141373172562	0.126163675654083	0.901277913076366
red	SequencingNumber	25	0.234782858924528	1.14738056584881	1.15835763026273	0.258604926832767
red	Percent_CpG_Methylated	14	-0.177423803925284	-0.62118789050657	0.624522420918805	0.543976153105476
red	Percent_Duplicated_Reads	14	0.549566548309249	2.13998372452087	2.27871745186898	0.0417749804196134
red	Percent_Deduplicated_reads	14	-0.549566548309249	-2.13998372452087	2.27871745186898	0.0417749804196132
red	Percent_Duplicate_Reads	14	0.549566548309249	2.13998372452087	2.27871745186898	0.0417749804196134
red	Aligned_Uniquely	25	0.188233699711378	0.913631577982937	0.919167911717014	0.36754762722135
red	Aligned_Ambiguously	25	0.139461414600088	0.673220919446164	0.675434124284058	0.506134581505572
red	Aligned_Reads_Total	25	0.184727827375065	0.89621222520003	0.90143753189375	0.376698847031519
red	Mapping_Efficiency	25	0.181937007554996	0.882362410273812	0.887348923038195	0.384076402092007
red	Percent_Aligned_Total	25	0.177383408152081	0.859795665873046	0.864408890266343	0.396289311876472
red	Total_Reads	25	0.107414010320025	0.517134512822935	0.518137242717229	0.609311290520412
red	bgw_id	25	0.232942879855501	1.13804579730072	1.14875661981462	0.262463428143441
red	mom_gw_age	24	-0.0821008268246081	-0.385955760461193	0.386391458574753	0.70291853719341
red	age_c_months	25	0.227054251170927	1.10822744990913	1.11811678482653	0.27506020263065
red	gestage	25	-0.30843699403021	-1.52899335645752	1.55502757946668	0.133593292394802
red	bmi_mom	24	0.374011466050715	1.84370338112247	1.89155027723458	0.0717893380227784
red	hei_base_mom	22	-0.10288328853886	-0.461741852837775	0.462562672894577	0.648670872223805
red	brf_nb	23	0.127704746593815	0.588429500645963	0.5900478444701	0.561454641491069
red	ex_brf_mth3	22	-0.206238429437125	-0.93574734188288	0.942590320869815	0.357138150709506
red	ex_brf_mth6	21	-0.179935646773308	-0.792954250516519	0.797335097969978	0.435108223273894
red	gwg	21	-0.0134735914173303	-0.0587335776856345	0.0587353549762992	0.953776256422916
red	ppwr	21	-0.251662005862288	-1.12104955364477	1.13344909960789	0.27112577769731
red	soc_env_tot	25	0.405645398277317	2.06406766781492	2.12838294042826	0.0442380948537158
red	airpollut	25	-0.0606681521150157	-0.291311991211871	0.291491165677936	0.773288455470759
red	toxic	25	0.309342120305547	1.53379204628052	1.56007300125616	0.132397862261997
